Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q9_1,VD1_1,VD2_1,VD2_2,VD2_3,VD2_4,VD2_5,TA
48,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Nunca,Nunca,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",5,5,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Observadas
47,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Diariamente,Algunas veces al año,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",9,4,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,
45,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Algunas veces a la semana,Algunas veces a la semana,Algunas veces al año,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",9,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Observadas
44,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Algunas veces al mes,Algunas veces al mes,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",7,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Observadas
57,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al año,Algunas veces a la semana,Algunas veces a la semana,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",8,3,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
48,Masculino,Educación Secundaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Diariamente,Nunca,Nunca,"Comparte contenido político (información, memes, opiniones, etc.)",8,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni en acuerdo ni en desacuerdo,
42,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Diariamente,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",7,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
45,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.)",9,7,Ni en acuerdo ni en desacuerdo,Totalmente de acuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Nunca,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",9,1,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ligeramente en desacuerdo,
41,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Nunca,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,10,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Observadas
44,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Nunca,Diariamente,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",9,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,Observadas
47,Masculino,Educación Secundaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Algunas veces al mes,Nunca,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.)",5,6,Totalmente de acuerdo,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Observadas
31,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",8,8,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente de acuerdo,
21,Masculino,Educación Secundaria,"Zona 2: Breña, La Victoria, Lima (Cercado), Rímac y San Luis",Diariamente,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",2,10,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
46,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Diariamente,Algunas veces al año,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",7,5,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Algunas veces a la semana,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",1,10,Ligeramente de acuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
44,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Algunas veces a la semana,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",8,1,Totalmente de acuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
23,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Nunca,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",4,8,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Observadas
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Nunca,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",2,9,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
47,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",10,1,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Observadas
18,Masculino,Educación Superior Universitaria,"Zona 1: Ancón, Carabayllo, Comas, Independencia, Los Olivos, Puente Piedra, San Martín de Porres y Santa Rosa",Diariamente,Nunca,Algunas veces al mes,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",1,10,Totalmente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
48,Masculino,Maestría,"Zona 5: Chorrillos, Lurín, Pachacamac, Pucusana, Punta Hermosa, Punta Negra, San Bartolo, San Juan de Miraflores, Santa María del Mar, Villa el Salvador y Villa María del Triunfo",Nunca,Algunas veces al año,Algunas veces al año,Nunca,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",5,4,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",4,7,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Observadas
26,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Nunca,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",2,9,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
54,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Algunas veces al mes,Nunca,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",5,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,Observadas
63,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Algunas veces a la semana,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.)",5,5,Ligeramente de acuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
21,Femenino,Educación Superior Universitaria,"Zona 1: Ancón, Carabayllo, Comas, Independencia, Los Olivos, Puente Piedra, San Martín de Porres y Santa Rosa",Diariamente,Algunas veces a la semana,Algunas veces al mes,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",2,6,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente de acuerdo,
45,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Nunca,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",6,1,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
21,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Diariamente,Algunas veces al mes,Algunas veces a la semana,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",2,8,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
44,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Nunca,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",7,2,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Observadas
44,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Diariamente,Nunca,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",7,3,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Observadas
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Diariamente,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",2,10,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Observadas
80,Femenino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Algunas veces a la semana,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",7,1,Ligeramente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
48,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Nunca,Nunca,Nunca,,10,1,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ligeramente en desacuerdo,Observadas
55,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",10,2,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,
44,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Algunas veces al mes,Nunca,Algunas veces al mes,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",9,1,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Ligeramente en desacuerdo,Observadas
41,Femenino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Nunca,Nunca,Diariamente,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,7,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
21,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Nunca,Algunas veces al año,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",6,8,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
69,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Algunas veces a la semana,,Algunas veces a la semana,Algunas veces a la semana,,"Recibe contenido político (información, memes, opiniones, etc.)",5,2,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Nunca,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",1,8,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
53,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Diariamente,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.)",6,5,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Observadas
32,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Algunas veces a la semana,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",10,1,Totalmente de acuerdo,Ligeramente en desacuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Observadas
25,Femenino,Educación Superior Universitaria,"Zona 5: Chorrillos, Lurín, Pachacamac, Pucusana, Punta Hermosa, Punta Negra, San Bartolo, San Juan de Miraflores, Santa María del Mar, Villa el Salvador y Villa María del Triunfo",Diariamente,Nunca,Nunca,Nunca,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",2,8,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
24,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Diariamente,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",8,1,Totalmente en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Observadas
75,Femenino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Algunas veces al año,Algunas veces al año,Algunas veces al año,Algunas veces al año,Algunas veces al año,"Comparte contenido político (información, memes, opiniones, etc.)",4,5,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
22,Femenino,Educación Superior Universitaria,"Zona 5: Chorrillos, Lurín, Pachacamac, Pucusana, Punta Hermosa, Punta Negra, San Bartolo, San Juan de Miraflores, Santa María del Mar, Villa el Salvador y Villa María del Triunfo",Algunas veces a la semana,Nunca,Nunca,Algunas veces a la semana,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",5,6,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
23,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Nunca,Algunas veces a la semana,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",3,9,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
20,Masculino,Educación Superior Universitaria,"Zona 5: Chorrillos, Lurín, Pachacamac, Pucusana, Punta Hermosa, Punta Negra, San Bartolo, San Juan de Miraflores, Santa María del Mar, Villa el Salvador y Villa María del Triunfo",Diariamente,Algunas veces a la semana,Algunas veces a la semana,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,4,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Observadas
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Nunca,Algunas veces a la semana,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",3,7,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Observadas
19,Femenino,Educación Superior Universitaria,"Zona 2: Breña, La Victoria, Lima (Cercado), Rímac y San Luis",Algunas veces a la semana,Algunas veces al mes,Nunca,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",2,7,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
66,Femenino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al año,Algunas veces a la semana,Algunas veces al mes,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",9,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Nunca,Nunca,Diariamente,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",4,9,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Observadas
23,Femenino,Educación Superior Universitaria,"Zona 1: Ancón, Carabayllo, Comas, Independencia, Los Olivos, Puente Piedra, San Martín de Porres y Santa Rosa",Algunas veces a la semana,Nunca,Algunas veces a la semana,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,9,Totalmente de acuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
25,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al año,Algunas veces al año,Nunca,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",1,8,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
22,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Diariamente,Diariamente,Nunca,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",1,10,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
45,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Diariamente,Nunca,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",10,9,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente de acuerdo,Ligeramente en desacuerdo,
